"plotId","Grain_yield","Days_to_flowering","Days_to_maturity","SDWT_100Wgh_g"
"8T3QP125e56c5","126.0","43.333332","99.333336","26.976667"
"8T3QP27f0b5f8","145.33333","33.333332","102.333336","39.10667"
"8T3QP7f8922d7","162.33333","34.0","103.0","42.42"
"8T3QPb3d3de79","71.333336","34.333332","101.333336","37.663334"
"8T3QP8f1a5ea2","143.0","47.0","105.333336","16.733332"
"8T3QPe6f102b1","83.666664","41.0","103.0","27.103333"
"8T3QP242becb2","86.0","33.0","102.333336","34.096664"
"8T3QP1fa41136","62.333332","33.333332","104.0","33.486664"
"8T3QP00f648f2","188.0","46.0","102.666664","24.356668"
"8T3QPe485dd77","95.0","36.333332","102.0","24.123335"
"8T3QPb6dc8cc2","106.0","34.0","104.0","33.316666"
"8T3QPed262aea","119.333336","33.333332","101.666664","34.77"
"8T3QP04b95f74","178.66667","43.333332","103.0","21.356667"
"8T3QPdd2bc11a","129.0","33.0","104.666664","33.33667"
"8T3QP72bc8837","200.33333","34.0","105.0","34.84667"
"8T3QP615ce9a9","233.33333","48.666668","104.666664","16.023333"
"8T3QP4545661e","174.66667","37.333332","104.0","32.133335"
"8T3QP576dddeb","178.0","34.0","102.333336","43.460003"
"8T3QP833ec666","196.66667","46.333332","103.666664","19.216667"
"8T3QP81f0b4e2","135.33333","38.0","103.333336","29.893333"
"8T3QP66d32822","97.0","33.333332","99.0","31.300001"
"8T3QP57f3b7a7","88.333336","34.666668","102.666664","38.76"
"8T3QP1be37d00","113.0","44.666668","107.666664","18.036667"
"8T3QP5e29f303","132.0","40.666668","103.333336","32.566666"
"8T3QP8306961a","124.333336","33.666668","101.666664","36.74"
"8T3QP51ca2ad7","95.666664","33.666668","103.333336","30.896667"
"8T3QP06011ef7","143.33333","44.0","104.333336","31.953333"
"8T3QP3bf7f875","156.33333","36.333332","103.666664","33.670002"
"8T3QPb78b47b9","48.333332","32.333332","102.333336","24.220001"
"8T3QP9588c6bf","142.0","32.0","101.666664","33.266666"
"8T3QP72c8a411","136.66667","34.0","103.0","31.756668"
"8T3QP5851c64b","131.0","43.0","102.333336","20.349998"
"8T3QP6eac640c","130.0","45.0","104.0","17.176666"
"8T3QPd0807890","98.0","43.0","103.666664","18.476667"
"8T3QP6e7a6f1f","95.666664","44.0","102.333336","23.683334"
"8T3QP99e5190a","89.0","42.333332","100.333336","21.47"
"8T3QP21bd5274","139.66667","42.666668","103.0","19.973333"
"8T3QPd899141c","103.333336","41.333332","102.333336","27.113335"
"8T3QP4179d429","249.33333","43.666668","103.0","18.946667"
"8T3QP59728d64","93.666664","43.666668","102.666664","19.316666"
"8T3QP8d129707","113.333336","34.0","104.333336","39.393337"
"8T3QP09d59413","76.333336","44.666668","102.666664","19.226667"
"8T3QP5e3dbbe1","78.333336","34.0","101.666664","34.316666"
"8T3QP62c036c8","140.66667","32.666668","102.0","34.523335"
"8T3QP11dbc51d","72.0","43.333332","103.666664","25.843332"
"8T3QP63d3e0ea","120.333336","33.666668","102.333336","32.27"
"8T3QPbf4dc95d","86.666664","33.666668","102.0","32.91"
"8T3QP8a787380","86.333336","32.0","100.666664","30.863333"
"8T3QP05dd80bc","137.0","40.666668","107.0","24.723333"
"8T3QPcb472bde","95.0","44.333332","102.333336","28.383331"
"8T3QPa724344b","136.0","41.0","103.333336","19.67"
"8T3QP69137350","143.0","43.333332","105.0","19.31"
"8T3QPb1b803a3","128.0","43.0","104.0","19.626665"
"8T3QP61509e60","74.0","46.0","103.333336","17.496666"
"8T3QPe9c77ed4","146.66667","40.0","100.666664","22.800001"
"8T3QPd7059c47","93.333336","41.333332","104.0","17.733334"
"8T3QPb7831fc9","101.666664","43.333332","102.666664","19.576666"
"8T3QPaa700c6d","175.66667","33.666668","102.0","28.546667"
"8T3QP75f6fb04","149.33333","47.666668","103.666664","20.666668"
"8T3QP7828cb41","122.666664","49.333332","105.333336","14.81"
"8T3QP6ee1a270","146.33333","41.333332","104.333336","25.24"
"8T3QP2a0af635","199.66667","46.0","106.0","21.573334"
"8T3QPb673f5ad","80.666664","45.333332","102.0","19.47"
"8T3QPfce6bcd8","160.66667","45.666668","102.333336","21.793335"
"8T3QP9ab03e1a","265.0","46.333332","102.333336","19.289999"
"8T3QPd771c951","75.0","45.0","104.333336","21.973333"
"8T3QP95cd2ab7","104.0","41.0","102.666664","21.253334"
